y_px,pp_bass,mf_bass,ff,mf_treble,pp_treble
147000,1671.61,1907.32,2145.59,2380.52,2619.92
147100,1671.61,1907.32,2145.59,2380.52,2619.92
147200,1671.61,1907.32,2145.59,2380.52,2619.92
147300,1671.71,1907.41,2145.68,2380.62,2620.02
147400,1671.9,1907.6,2145.87,2380.81,2620.21
147500,1672.09,1907.79,2146.06,2381.0,2620.4
147600,1672.28,1907.98,2146.25,2381.19,2620.59
147700,1672.47,1908.17,2146.44,2381.38,2620.78
147800,1672.51,1908.22,2146.49,2381.42,2620.82
147900,1672.41,1908.11,2146.39,2381.32,2620.72
148000,1672.31,1908.01,2146.28,2381.21,2620.62
148100,1672.2,1907.91,2146.18,2381.11,2620.51
148200,1672.1,1907.8,2146.08,2381.01,2620.41
148300,1672.0,1907.7,2145.97,2380.91,2620.31
148400,1671.9,1907.6,2145.87,2380.81,2620.21
148500,1671.8,1907.5,2145.77,2380.71,2620.11
148600,1671.7,1907.4,2145.67,2380.61,2620.01
148700,1671.6,1907.3,2145.57,2380.51,2619.91
148800,1671.66,1907.36,2145.63,2380.57,2619.97
148900,1671.88,1907.58,2145.85,2380.79,2620.19
149000,1672.1,1907.8,2146.07,2381.01,2620.41
149100,1672.32,1908.02,2146.29,2381.23,2620.63
149200,1672.54,1908.24,2146.51,2381.45,2620.85
149300,1672.65,1908.35,2146.62,2381.56,2620.96
149400,1672.65,1908.35,2146.62,2381.56,2620.96
