y_px,pp_bass,mf_bass,ff,mf_treble,pp_treble
132000,1672.5,1908.2,2146.48,2381.41,2620.81
132100,1672.5,1908.2,2146.48,2381.41,2620.81
132200,1672.5,1908.2,2146.48,2381.41,2620.81
132300,1672.5,1908.2,2146.47,2381.41,2620.81
132400,1672.49,1908.19,2146.47,2381.4,2620.8
132500,1672.48,1908.19,2146.46,2381.39,2620.8
132600,1672.48,1908.18,2146.45,2381.39,2620.79
132700,1672.47,1908.18,2146.45,2381.38,2620.78
132800,1672.45,1908.16,2146.43,2381.36,2620.76
132900,1672.42,1908.12,2146.39,2381.33,2620.73
133000,1672.38,1908.09,2146.36,2381.29,2620.7
133100,1672.35,1908.05,2146.33,2381.26,2620.66
133200,1672.32,1908.02,2146.29,2381.23,2620.63
133300,1672.33,1908.04,2146.31,2381.24,2620.64
133400,1672.4,1908.1,2146.37,2381.31,2620.71
133500,1672.46,1908.17,2146.44,2381.37,2620.77
133600,1672.53,1908.23,2146.51,2381.44,2620.84
133700,1672.59,1908.3,2146.57,2381.5,2620.9
133800,1672.66,1908.37,2146.64,2381.57,2620.97
133900,1672.74,1908.44,2146.71,2381.65,2621.05
134000,1672.81,1908.51,2146.79,2381.72,2621.12
134100,1672.88,1908.59,2146.86,2381.79,2621.2
134200,1672.96,1908.66,2146.94,2381.87,2621.27
134300,1673.0,1908.7,2146.97,2381.9,2621.31
134400,1673.0,1908.7,2146.97,2381.9,2621.31
