y_px,tick,seconds,bass_x,bass_value,bass_flag,bass_source,treble_x,treble_value,treble_flag,treble_source
176500,160018,267.7503,1886.0,0.45377,ink,traced,2298.5,0.67558,ink,traced
176501,160019,267.7519,1885.5,0.45271,ink,traced,2299.0,0.67451,ink,traced
176502,160020,267.7535,1885.5,0.45271,ink,traced,2296.5,0.67983,ink,traced
176503,160021,267.7551,1885.5,0.45271,ink,traced,2299.0,0.67451,ink,traced
176504,160022,267.7567,1886.0,0.45377,ink,traced,2299.0,0.67451,ink,traced
176505,160023,267.7583,1886.0,0.45377,ink,traced,2298.5,0.67558,ink,traced
176506,160024,267.7599,1886.0,0.45377,ink,traced,2299.0,0.67451,ink,traced
176507,160025,267.7615,1886.5,0.45483,ink,traced,2299.0,0.67451,ink,traced
176508,160026,267.7631,1887.0,0.45589,ink,traced,2298.5,0.67558,ink,traced
176509,160027,267.7646,1887.0,0.45589,ink,traced,2298.5,0.67558,ink,traced
176510,160028,267.7662,1887.5,0.45696,ink,traced,2298.5,0.67558,ink,traced
176511,160029,267.7678,1888.0,0.45802,ink,traced,2298.5,0.67558,ink,traced
176512,160030,267.7694,1887.5,0.45696,ink,traced,2298.0,0.67664,ink,traced
176513,160031,267.771,1888.0,0.45802,ink,traced,2298.0,0.67664,ink,traced
176514,160032,267.7726,1888.5,0.45908,ink,traced,2298.0,0.67664,ink,traced
176515,160033,267.7742,1888.5,0.45908,ink,traced,2298.0,0.67664,ink,traced
176516,160034,267.7758,1888.5,0.45908,ink,traced,2297.5,0.6777,ink,traced
176517,160035,267.7774,1888.5,0.45908,ink,traced,2297.5,0.6777,ink,traced
176518,160036,267.779,1889.5,0.4612,ink,traced,2297.5,0.6777,ink,traced
176519,160037,267.7806,1889.5,0.4612,ink,traced,2298.0,0.67664,ink,traced
176520,160038,267.7822,1889.5,0.4612,ink,traced,2298.5,0.67558,ink,traced
176521,160039,267.7838,1889.5,0.4612,ink,traced,2298.5,0.67558,ink,traced
176522,160040,267.7853,1890.0,0.46226,ink,traced,2298.0,0.67664,ink,traced
176523,160041,267.7869,1890.0,0.46226,ink,traced,2298.0,0.67664,ink,traced
176524,160042,267.7885,1890.5,0.46332,ink,traced,2298.0,0.67664,ink,traced
176525,160043,267.7901,1890.5,0.46332,ink,traced,2298.0,0.67664,ink,traced
176526,160044,267.7917,1891.0,0.46438,ink,traced,2298.0,0.67664,ink,traced
176527,160045,267.7933,1890.5,0.46332,ink,traced,2297.5,0.6777,ink,traced
176528,160046,267.7949,1893.5,0.46968,ink,traced,2297.5,0.6777,ink,traced
176529,160047,267.7965,1891.5,0.46544,ink,traced,2298.0,0.67664,ink,traced
176530,160048,267.7981,1891.5,0.46544,ink,traced,2297.5,0.6777,ink,traced
176531,160049,267.7997,1891.0,0.46438,ink,traced,2297.5,0.6777,ink,traced
176532,160050,267.8013,1891.5,0.46544,ink,traced,2297.0,0.67877,ink,traced
176533,160051,267.8029,1892.0,0.4665,ink,traced,2297.5,0.6777,ink,traced
176534,160052,267.8045,1893.0,0.46862,ink,traced,2297.5,0.6777,ink,traced
176535,160053,267.8061,1892.5,0.46756,ink,traced,2297.5,0.6777,ink,traced
176536,160054,267.8076,1892.5,0.46756,ink,traced,2297.5,0.6777,ink,traced
176537,160055,267.8092,1892.5,0.46756,ink,traced,2297.5,0.6777,ink,traced
176538,160056,267.8108,1892.0,0.4665,ink,traced,2297.5,0.6777,ink,traced
176539,160057,267.8124,1893.0,0.46862,ink,traced,2297.5,0.6777,ink,traced
176540,160058,267.814,1893.5,0.46968,ink,traced,2297.5,0.6777,ink,traced
176541,160059,267.8156,1893.0,0.46862,ink,traced,2297.5,0.6777,ink,traced
176542,160060,267.8172,1895.0,0.47286,ink,traced,2297.5,0.6777,ink,traced
176543,160061,267.8188,1894.5,0.4718,ink,traced,2297.0,0.67877,ink,traced
176544,160062,267.8204,1894.5,0.4718,ink,traced,2297.0,0.67877,ink,traced
176545,160063,267.822,1894.0,0.47074,ink,traced,2295.5,0.68196,ink,traced
176546,160064,267.8236,1894.5,0.4718,ink,traced,2294.0,0.68515,ink,traced
176547,160065,267.8252,1894.5,0.4718,ink,traced,2292.0,0.68941,ink,traced
176548,160066,267.8268,1894.5,0.4718,ink,traced,2291.0,0.69154,ink,traced
176549,160067,267.8284,1897.0,0.47711,ink,traced,2287.5,0.69899,ink,traced
176550,160068,267.8299,1894.5,0.4718,ink,traced,2283.5,0.7075,ink,traced
176551,160069,267.8315,1895.5,0.47393,ink,traced,2280.5,0.71389,ink,traced
