y_px,tick,seconds,bass_x,bass_value,bass_flag,bass_source,treble_x,treble_value,treble_flag,treble_source
147000,130518,220.3354,1944.5,0.57803,ink,traced,2322.5,0.62348,ink,traced
147001,130519,220.337,1943.5,0.57593,ink,traced,2323.5,0.62136,ink,traced
147002,130520,220.3386,1944.5,0.57803,ink,traced,2322.5,0.62348,ink,traced
147003,130521,220.3403,1945.0,0.57908,ink,traced,2322.5,0.62348,ink,traced
147004,130522,220.3419,1945.0,0.57908,ink,traced,2323.0,0.62242,ink,traced
147005,130523,220.3435,1944.5,0.57803,ink,traced,2322.5,0.62348,ink,traced
147006,130524,220.3451,1944.5,0.57803,ink,traced,2323.0,0.62242,ink,traced
147007,130525,220.3467,1944.5,0.57803,ink,traced,2322.5,0.62348,ink,traced
147008,130526,220.3484,1944.0,0.57698,ink,traced,2322.0,0.62455,ink,traced
147009,130527,220.35,1944.5,0.57803,ink,traced,2322.5,0.62348,ink,traced
147010,130528,220.3516,1943.5,0.57593,ink,traced,2323.5,0.62136,ink,traced
147011,130529,220.3532,1943.5,0.57593,ink,traced,2322.0,0.62455,ink,traced
147012,130530,220.3549,1944.0,0.57698,ink,traced,2322.0,0.62455,ink,traced
147013,130531,220.3565,1943.0,0.57488,ink,traced,2321.5,0.62561,ink,traced
147014,130532,220.3581,1943.5,0.57593,ink,traced,2323.0,0.62242,ink,traced
147015,130533,220.3597,1943.0,0.57488,ink,traced,2322.0,0.62455,ink,traced
147016,130534,220.3613,1942.5,0.57383,ink,traced,2323.0,0.62242,ink,traced
147017,130535,220.363,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147018,130536,220.3646,1944.0,0.57698,ink,traced,2320.0,0.6288,ink,traced
147019,130537,220.3662,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147020,130538,220.3678,1944.5,0.57803,ink,traced,2324.0,0.62029,ink,traced
147021,130539,220.3694,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147022,130540,220.3711,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147023,130541,220.3727,1944.0,0.57698,ink,traced,2323.5,0.62136,ink,traced
147024,130542,220.3743,1943.5,0.57593,ink,traced,2324.0,0.62029,ink,traced
147025,130543,220.3759,1943.0,0.57488,ink,traced,2323.5,0.62136,ink,traced
147026,130544,220.3775,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147027,130545,220.3792,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147028,130546,220.3808,1943.5,0.57593,ink,traced,2323.5,0.62136,ink,traced
147029,130547,220.3824,1944.0,0.57698,ink,traced,2322.0,0.62455,ink,traced
147030,130548,220.384,1945.0,0.57908,ink,traced,2322.5,0.62348,ink,traced
147031,130549,220.3857,1944.5,0.57803,ink,traced,2322.0,0.62455,ink,traced
147032,130550,220.3873,1944.0,0.57698,ink,traced,2322.5,0.62348,ink,traced
147033,130551,220.3889,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147034,130552,220.3905,1943.5,0.57593,ink,traced,2322.0,0.62455,ink,traced
147035,130553,220.3921,1943.0,0.57488,ink,traced,2323.0,0.62242,ink,traced
147036,130554,220.3938,1945.0,0.57908,ink,traced,2323.5,0.62136,ink,traced
147037,130555,220.3954,1944.0,0.57698,ink,traced,2323.5,0.62136,ink,traced
147038,130556,220.397,1944.0,0.57698,ink,traced,2323.5,0.62136,ink,traced
147039,130557,220.3986,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147040,130558,220.4002,1943.5,0.57593,ink,traced,2323.5,0.62136,ink,traced
147041,130559,220.4019,1942.5,0.57383,ink,traced,2323.5,0.62136,ink,traced
147042,130560,220.4035,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147043,130561,220.4051,1944.5,0.57803,ink,traced,2323.0,0.62242,ink,traced
147044,130562,220.4067,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147045,130563,220.4083,1944.5,0.57803,ink,traced,2323.0,0.62242,ink,traced
147046,130564,220.41,1944.0,0.57698,ink,traced,2323.0,0.62242,ink,traced
147047,130565,220.4116,1944.0,0.57698,ink,traced,2323.5,0.62136,ink,traced
147048,130566,220.4132,1945.0,0.57908,ink,traced,2323.0,0.62242,ink,traced
147049,130567,220.4148,1942.5,0.57383,ink,traced,2323.5,0.62136,ink,traced
147050,130568,220.4164,1942.5,0.57383,ink,traced,2323.0,0.62242,ink,traced
147051,130569,220.4181,1942.5,0.57383,ink,traced,2323.0,0.62242,ink,traced
147052,130570,220.4197,1942.0,0.57278,ink,traced,2323.0,0.62242,ink,traced
147053,130571,220.4213,1945.0,0.57908,ink,traced,2323.0,0.62242,ink,traced
147054,130572,220.4229,1944.5,0.57803,ink,traced,2323.5,0.62136,ink,traced
147055,130573,220.4246,1943.5,0.57593,ink,traced,2322.5,0.62348,ink,traced
147056,130574,220.4262,1943.5,0.57593,ink,traced,2323.0,0.62242,ink,traced
147057,130575,220.4278,1943.5,0.57593,ink,traced,2323.0,0.62242,ink,traced
147058,130576,220.4294,1944.5,0.57803,ink,traced,2323.0,0.62242,ink,traced
147059,130577,220.431,1945.0,0.57908,ink,traced,2322.5,0.62348,ink,traced
147060,130578,220.4327,1945.0,0.57908,ink,traced,2322.5,0.62348,ink,traced
147061,130579,220.4343,1944.0,0.57698,ink,traced,2322.5,0.62348,ink,traced
147062,130580,220.4359,1944.5,0.57803,ink,traced,2323.0,0.62242,ink,traced
147063,130581,220.4375,1944.0,0.57698,ink,traced,2322.0,0.62455,ink,traced
147064,130582,220.4391,1944.5,0.57803,ink,traced,2322.0,0.62455,ink,traced
147065,130583,220.4408,1943.5,0.57593,ink,traced,2322.0,0.62455,ink,traced
147066,130584,220.4424,1943.5,0.57593,ink,traced,2322.0,0.62455,ink,traced
147067,130585,220.444,1943.0,0.57488,ink,traced,2322.5,0.62348,ink,traced
147068,130586,220.4456,1943.0,0.57488,ink,traced,2322.5,0.62348,ink,traced
147069,130587,220.4472,1942.5,0.57383,ink,traced,2322.0,0.62455,ink,traced
147070,130588,220.4489,1942.5,0.57383,ink,traced,2320.5,0.62774,ink,traced
147071,130589,220.4505,1944.5,0.57803,ink,traced,2319.0,0.63093,ink,traced
147072,130590,220.4521,1943.0,0.57488,ink,traced,2318.0,0.63306,ink,traced
147073,130591,220.4537,1944.5,0.57803,ink,traced,2315.0,0.63945,ink,traced
147074,130592,220.4554,1944.5,0.57803,ink,traced,2313.5,0.64264,ink,traced
147075,130593,220.457,1944.5,0.57803,ink,traced,2311.0,0.64796,ink,traced
147076,130594,220.4586,1944.0,0.57698,ink,traced,2309.5,0.65115,ink,traced
147077,130595,220.4602,1944.0,0.57698,ink,traced,2307.0,0.65647,ink,traced
147078,130596,220.4618,1944.0,0.57698,ink,traced,2304.5,0.66179,ink,traced
147079,130597,220.4635,1943.5,0.57593,ink,traced,2303.5,0.66392,ink,traced
147080,130598,220.4651,1944.0,0.57698,ink,traced,2300.0,0.67137,ink,traced
147081,130599,220.4667,1944.0,0.57698,ink,traced,2299.5,0.67243,ink,traced
147082,130600,220.4683,1943.5,0.57593,ink,traced,2296.5,0.67882,ink,traced
147083,130601,220.4699,1944.5,0.57803,ink,traced,2295.5,0.68095,ink,traced
147084,130602,220.4716,1944.5,0.57803,ink,traced,2293.5,0.6852,ink,traced
147085,130603,220.4732,1944.0,0.57698,ink,traced,2291.5,0.68946,ink,traced
147086,130604,220.4748,1944.0,0.57698,ink,traced,2287.5,0.69797,ink,traced
147087,130605,220.4764,1943.5,0.57593,ink,traced,2286.0,0.70117,ink,traced
147088,130606,220.478,1943.5,0.57593,ink,traced,2286.0,0.70117,ink,traced
147089,130607,220.4797,1942.5,0.57383,ink,traced,2285.5,0.70223,ink,traced
147090,130608,220.4813,1944.5,0.57803,ink,traced,2284.0,0.70542,ink,traced
147091,130609,220.4829,1944.0,0.57698,ink,traced,2280.5,0.71287,ink,traced
147092,130610,220.4845,1944.5,0.57803,ink,traced,2281.5,0.71074,ink,traced
147093,130611,220.4861,1945.0,0.57908,ink,traced,2279.0,0.71606,ink,traced
147094,130612,220.4878,1943.5,0.57593,ink,traced,2279.0,0.71606,ink,traced
147095,130613,220.4894,1944.5,0.57803,ink,traced,2276.5,0.72138,ink,traced
147096,130614,220.491,1944.5,0.57803,ink,traced,2273.5,0.72777,ink,traced
147097,130615,220.4926,1944.0,0.57698,ink,traced,2272.5,0.7299,ink,traced
147098,130616,220.4943,1944.0,0.57698,ink,traced,2269.0,0.73735,ink,traced
147099,130617,220.4959,1943.5,0.57593,ink,traced,2269.0,0.73735,ink,traced
147100,130618,220.4975,1944.0,0.57698,ink,traced,2268.0,0.73947,ink,traced
147101,130619,220.4991,1943.5,0.57593,ink,traced,2265.5,0.7448,ink,traced
147102,130620,220.5007,1944.5,0.57803,ink,traced,2264.0,0.74799,ink,traced
147103,130621,220.5024,1944.0,0.57698,ink,traced,2262.0,0.75224,ink,traced
147104,130622,220.504,1944.0,0.57698,ink,traced,2260.5,0.75544,ink,traced
147105,130623,220.5056,1944.5,0.57803,ink,traced,2259.5,0.75756,ink,traced
147106,130624,220.5072,1943.5,0.57593,ink,traced,2259.0,0.75863,ink,traced
147107,130625,220.5088,1944.0,0.57698,ink,traced,2259.0,0.75863,ink,traced
147108,130626,220.5105,1944.5,0.57803,ink,traced,2255.5,0.76608,ink,traced
147109,130627,220.5121,1944.5,0.57803,ink,traced,2253.5,0.77033,ink,traced
147110,130628,220.5137,1944.0,0.57698,ink,traced,2253.0,0.7714,ink,traced
147111,130629,220.5153,1944.0,0.57698,ink,traced,2249.0,0.77991,ink,traced
147112,130630,220.5169,1944.0,0.57698,ink,traced,2244.5,0.78949,ink,traced
147113,130631,220.5186,1944.0,0.57698,ink,traced,2245.5,0.78736,ink,traced
147114,130632,220.5202,1944.0,0.57698,ink,traced,2243.0,0.79268,ink,traced
147115,130633,220.5218,1944.0,0.57698,ink,traced,2242.5,0.79375,ink,traced
147116,130634,220.5234,1944.0,0.57698,ink,traced,2241.5,0.79587,ink,traced
147117,130635,220.5251,1944.5,0.57803,ink,traced,2238.5,0.80226,ink,traced
147118,130636,220.5267,1944.5,0.57803,ink,traced,2238.5,0.80226,ink,traced
147119,130637,220.5283,1944.0,0.57698,ink,traced,2238.0,0.80332,ink,traced
147120,130638,220.5299,1944.0,0.57698,ink,traced,2235.5,0.80864,ink,traced
147121,130639,220.5315,1944.5,0.57803,ink,traced,2234.5,0.81077,ink,traced
147122,130640,220.5332,1944.5,0.57803,ink,traced,2233.0,0.81396,ink,traced
147123,130641,220.5348,1944.0,0.57698,ink,traced,2231.5,0.81716,ink,traced
147124,130642,220.5364,1944.0,0.57698,ink,traced,2227.0,0.82673,ink,traced
147125,130643,220.538,1944.0,0.57698,ink,traced,2227.0,0.82673,ink,traced
147126,130644,220.5396,1944.5,0.57803,ink,traced,2226.0,0.82886,ink,traced
147127,130645,220.5413,1944.5,0.57803,ink,traced,2225.0,0.83099,ink,traced
147128,130646,220.5429,1944.5,0.57803,ink,traced,2219.0,0.84376,ink,traced
147129,130647,220.5445,1944.0,0.57698,ink,traced,2220.0,0.84163,ink,traced
147130,130648,220.5461,1944.0,0.57698,ink,traced,2218.5,0.84482,ink,traced
147131,130649,220.5477,1944.0,0.57698,ink,traced,2217.0,0.84802,ink,traced
147132,130650,220.5494,1944.5,0.57803,ink,traced,2215.0,0.85227,ink,traced
147133,130651,220.551,1946.0,0.58118,ink,traced,2215.5,0.85121,ink,traced
147134,130652,220.5526,1948.5,0.58642,ink,traced,2215.0,0.85227,ink,traced
147135,130653,220.5542,1950.5,0.59062,ink,traced,2212.5,0.85759,ink,traced
147136,130654,220.5559,1956.0,0.60216,ink,traced,2211.0,0.86079,ink,traced
147137,130655,220.5575,1956.5,0.60321,ink,traced,2207.0,0.8693,ink,traced
147138,130656,220.5591,1958.0,0.60636,ink,traced,2205.0,0.87356,ink,traced
147139,130657,220.5607,1961.0,0.61265,ink,traced,2206.5,0.87036,ink,traced
147140,130658,220.5623,1963.0,0.61685,ink,traced,2205.0,0.87356,ink,traced
147141,130659,220.564,1964.5,0.62,ink,traced,2202.5,0.87888,ink,traced
147142,130660,220.5656,1968.5,0.62839,ink,traced,2202.0,0.87994,ink,traced
147143,130661,220.5672,1968.0,0.62734,ink,traced,2200.0,0.8842,ink,traced
147144,130662,220.5688,1970.0,0.63154,ink,traced,2199.5,0.88526,ink,traced
147145,130663,220.5704,1972.5,0.63679,ink,traced,2199.5,0.88526,ink,traced
147146,130664,220.5721,1973.5,0.63888,ink,traced,2195.5,0.89377,ink,traced
147147,130665,220.5737,1975.5,0.64308,ink,traced,2197.0,0.89058,ink,traced
147148,130666,220.5753,1977.0,0.64623,ink,traced,2194.5,0.8959,ink,traced
147149,130667,220.5769,1979.5,0.65148,ink,traced,2195.0,0.89484,ink,traced
147150,130668,220.5785,1980.5,0.65357,ink,traced,2195.0,0.89484,ink,traced
147151,130669,220.5802,1983.0,0.65882,ink,traced,2194.0,0.89697,ink,traced
147152,130670,220.5818,1983.0,0.65882,ink,traced,2192.5,0.90016,ink,traced
147153,130671,220.5834,1987.0,0.66721,ink,traced,2191.0,0.90335,ink,traced
147154,130672,220.585,1989.0,0.67141,ink,traced,2189.0,0.90761,ink,traced
147155,130673,220.5866,1992.0,0.67771,ink,traced,2188.0,0.90974,ink,traced
147156,130674,220.5883,1992.5,0.67875,ink,traced,2186.0,0.91399,ink,traced
147157,130675,220.5899,1993.5,0.68085,ink,traced,2184.0,0.91825,ink,traced
147158,130676,220.5915,1996.0,0.6861,ink,traced,2185.0,0.91612,ink,traced
147159,130677,220.5931,1996.0,0.6861,ink,traced,2185.0,0.91612,ink,traced
147160,130678,220.5948,1998.5,0.69135,ink,traced,2182.5,0.92144,ink,traced
147161,130679,220.5964,1999.0,0.69239,ink,traced,2183.0,0.92038,ink,traced
147162,130680,220.598,2002.0,0.69869,ink,traced,2182.5,0.92144,ink,traced
147163,130681,220.5996,2005.0,0.70499,ink,traced,2182.0,0.92251,ink,traced
147164,130682,220.6012,2007.0,0.70918,ink,traced,2182.5,0.92144,ink,traced
147165,130683,220.6029,2008.0,0.71128,ink,traced,2182.0,0.92251,ink,traced
147166,130684,220.6045,2010.0,0.71548,ink,traced,2179.0,0.92889,ink,traced
147167,130685,220.6061,2010.0,0.71548,ink,traced,2177.5,0.93208,ink,traced
147168,130686,220.6077,2011.0,0.71758,ink,traced,2178.5,0.92995,ink,traced
147169,130687,220.6093,2014.0,0.72387,ink,traced,2177.5,0.93208,ink,traced
147170,130688,220.611,2015.0,0.72597,ink,traced,2177.0,0.93315,ink,traced
147171,130689,220.6126,2018.0,0.73226,ink,traced,2176.0,0.93528,ink,traced
147172,130690,220.6142,2018.0,0.73226,ink,traced,2175.5,0.93634,ink,traced
147173,130691,220.6158,2021.0,0.73856,ink,traced,2175.5,0.93634,ink,traced
147174,130692,220.6174,2022.0,0.74066,ink,traced,2175.0,0.9374,ink,traced
147175,130693,220.6191,2022.5,0.74171,ink,traced,2176.0,0.93528,ink,traced
147176,130694,220.6207,2023.0,0.74276,ink,traced,2172.5,0.94272,ink,traced
147177,130695,220.6223,2024.5,0.7459,ink,traced,2172.0,0.94379,ink,traced
147178,130696,220.6239,2028.0,0.75325,ink,traced,2171.5,0.94485,ink,traced
147179,130697,220.6256,2030.0,0.75745,ink,traced,2171.5,0.94485,ink,traced
147180,130698,220.6272,2030.0,0.75745,ink,traced,2171.0,0.94592,ink,traced
147181,130699,220.6288,2032.5,0.76269,ink,traced,2171.0,0.94592,ink,traced
147182,130700,220.6304,2032.0,0.76164,ink,traced,2171.0,0.94592,ink,traced
147183,130701,220.632,2033.5,0.76479,ink,traced,2170.5,0.94698,ink,traced
147184,130702,220.6337,2035.5,0.76899,ink,traced,2170.5,0.94698,ink,traced
147185,130703,220.6353,2036.0,0.77004,ink,traced,2170.5,0.94698,ink,traced
147186,130704,220.6369,2037.0,0.77214,ink,traced,2170.5,0.94698,ink,traced
147187,130705,220.6385,2039.5,0.77738,ink,traced,2170.5,0.94698,ink,traced
147188,130706,220.6401,2040.0,0.77843,ink,traced,2170.5,0.94698,ink,traced
147189,130707,220.6418,2040.5,0.77948,ink,traced,2170.5,0.94698,ink,traced
147190,130708,220.6434,2041.5,0.78158,ink,traced,2170.5,0.94698,ink,traced
147191,130709,220.645,2042.0,0.78263,ink,traced,2170.0,0.94804,ink,traced
147192,130710,220.6466,2044.5,0.78787,ink,traced,2170.5,0.94698,ink,traced
147193,130711,220.6482,2046.5,0.79207,ink,traced,2170.5,0.94698,ink,traced
147194,130712,220.6499,2049.0,0.79732,ink,traced,2170.5,0.94698,ink,traced
147195,130713,220.6515,2049.5,0.79837,ink,traced,2170.5,0.94698,ink,traced
147196,130714,220.6531,2050.0,0.79941,ink,traced,2170.5,0.94698,ink,traced
147197,130715,220.6547,2050.5,0.80046,ink,traced,2170.5,0.94698,ink,traced
147198,130716,220.6563,2052.0,0.80361,ink,traced,2170.5,0.94698,ink,traced
147199,130717,220.658,2052.0,0.80361,ink,traced,2170.5,0.94698,ink,traced
